"ID";"Longitude";"Latitude";"Climate";"MAP";"MAT";"pH";"SOC";"NO3--N";"NH4+-N";"MBC";"DR";"MOA";"nirK gene abundance";"nirS gene abundance";"pmoA gene abundance";"NMDS1";"NMDS2"
100;120,68;31,54;"Subtropical";1.154,00;17,29;7,06;4,38;121,13;2,13;545,38;25,72;1,77;16.900.000,00;386.000.000,00;66.300.000,00;0,45;0,30
101;113,59;23,55;"Subtropical";1.738,00;22,75;5,20;3,76;39,95;7,19;302,67;6,29;7,27;5.140.000,00;84.200.000,00;32.900.000,00;-1,11;-0,04
102;106,33;26,99;"Subtropical";917,00;13,75;7,31;6,27;279,83;3,31;426,43;4,85;2,28;8.470.000,00;461.000.000,00;41.400.000,00;0,57;0,20
103;122,81;39,64;"Temperate";616,00;11,08;5,28;1,91;82,56;2,09;133,46;37,73;1,69;7.710.000,00;50.500.000,00;17.000.000,00;-1,34;0,28
104;122,07;41,12;"Temperate";570,00;9,83;7,43;2,81;13,13;6,17;140,00;3,34;3,48;12.000.000,00;160.000.000,00;25.000.000,00;0,31;0,79
105;106,95;26,89;"Subtropical";1.130,00;15,88;5,77;7,62;179,23;7,12;727,56;3,76;2,13;28.400.000,00;305.000.000,00;83.100.000,00;-0,17;-0,24
106;109,18;27,69;"Subtropical";1.271,00;17,79;4,92;3,06;70,92;2,01;461,23;58,12;1,91;14.500.000,00;215.000.000,00;60.700.000,00;-0,74;-0,51
107;112,22;25,91;"Subtropical";1.421,40;18,56;7,24;3,49;9,88;9,38;201,82;38,00;1,76;13.700.000,00;360.000.000,00;71.400.000,00;0,43;0,37
108;116,55;31,76;"Subtropical";1.100,00;16,33;5,16;3,72;92,88;9,35;597,74;1,09;2,03;12.400.000,00;103.000.000,00;55.100.000,00;-1,09;-0,10
109;114,29;26,75;"Subtropical";1.504,00;18,96;5,02;4,24;111,88;2,76;422,87;2,17;4,96;2.240.000,00;733.000.000,00;68.200.000,00;-1,30;-0,32
110;113,17;30,65;"Subtropical";1.119,00;16,96;7,44;1,50;59,77;2,07;117,63;1,38;0,64;1.100.000,00;425.000.000,00;16.500.000,00;0,52;0,62
111;107,81;26,51;"Subtropical";1.179,00;16,70;7,21;4,53;116,05;2,92;655,29;1,34;1,11;4.460.000,00;1.740.000.000,00;94.200.000,00;0,12;-0,06
112;116,86;28,2;"Subtropical";1.861,00;18,88;4,93;3,56;5,38;22,70;380,25;3,21;1,43;3.410.000,00;745.000.000,00;103.000.000,00;-1,23;-0,41
113;112,84;26,41;"Subtropical";1.493,00;18,58;5,65;6,69;45,02;30,45;686,37;1,13;1,07;8.190.000,00;1.940.000.000,00;163.000.000,00;-0,60;-0,22
114;112,67;25,65;"Subtropical";1.350,00;18,63;7,36;4,35;89,36;8,25;397,25;64,76;2,87;6.260.000,00;6.960.000.000,00;256.000.000,00;0,56;0,24
115;107,18;26,5;"Subtropical";1.290,00;15,86;5,83;7,55;245,97;2,87;1.728,44;0,78;0,92;7.300.000,00;3.070.000.000,00;131.000.000,00;-0,25;0,01
116;112,54;27,74;"Subtropical";1.510,00;17,83;6,54;4,95;96,59;30,06;516,68;2,06;1,48;6.920.000,00;2.150.000.000,00;207.000.000,00;-0,47;-0,20
117;118,46;34,08;"Temperate";1.018,00;15,29;6,48;3,83;77,09;6,93;280,28;82,02;1,80;7.560.000,00;1.190.000.000,00;104.000.000,00;-0,34;0,46
118;113,01;29,46;"Subtropical";1.324,00;17,58;7,37;4,21;113,90;16,43;236,46;17,51;2,33;9.610.000,00;5.010.000.000,00;234.000.000,00;0,56;0,29
119;110,35;19,99;"Tropical";1.167,00;25,00;5,51;3,33;20,33;9,54;283,15;1,09;2,62;3.490.000,00;1.050.000.000,00;123.000.000,00;-0,91;-0,38
120;113,59;24,79;"Subtropical";1.566,00;21,21;4,77;1,54;50,84;1,67;320,17;10,37;0,79;2.880.000,00;705.000.000,00;61.600.000,00;-1,25;-0,07
121;111,38;27,73;"Subtropical";1.384,00;17,80;5,22;3,86;20,20;15,62;346,68;26,44;2,28;5.150.000,00;1.400.000.000,00;113.000.000,00;-0,66;-0,26
122;108,37;22,82;"Subtropical";938,00;22,58;5,42;5,81;4,43;14,03;549,72;1,89;2,11;12.100.000,00;3.460.000.000,00;249.000.000,00;-0,40;-0,18
123;114,01;30,54;"Subtropical";1.256,00;17,17;6,33;4,70;89,39;18,98;476,23;1,41;2,67;17.800.000,00;4.570.000.000,00;274.000.000,00;-0,06;0,11
124;115,17;28,2;"Subtropical";1.614,00;17,88;5,08;5,12;172,99;4,90;627,39;35,50;1,36;6.180.000,00;2.110.000.000,00;170.000.000,00;-1,08;-0,21
125;118,01;34,34;"Temperate";833,00;14,88;7,09;4,09;98,80;6,61;363,01;1,22;4,00;9.370.000,00;2.940.000.000,00;172.000.000,00;0,33;0,48
126;120,01;31,63;"Subtropical";1.084,00;16,25;6,25;4,50;286,96;4,73;535,03;1,82;6,99;12.000.000,00;1.520.000.000,00;147.000.000,00;-0,34;0,24
127;112,86;23,51;"Subtropical";1.314,00;22,88;5,18;2,22;123,83;6,23;177,35;0,93;0,78;5.190.000,00;1.450.000.000,00;93.400.000,00;-0,85;-0,24
128;117,56;30,19;"Subtropical";1.402,00;17,17;5,79;2,45;62,68;2,23;318,43;1,11;2,29;3.220.000,00;812.000.000,00;60.400.000,00;-0,79;0,03
129;113,83;24,46;"Subtropical";1.566,00;21,21;4,80;2,58;19,61;6,68;221,27;12,75;1,43;1.340.000,00;162.000.000,00;22.700.000,00;-1,86;0,32
130;129,38;44,6;"Temperate";548,00;4,54;5,38;4,16;51,76;7,92;175,35;3,85;4,55;1.770.000,00;544.000.000,00;86.700.000,00;-0,55;0,31
131;104,97;31,01;"Subtropical";905,00;17,04;7,45;2,60;206,50;2,66;292,49;3,52;2,05;4.030.000,00;1.920.000.000,00;77.600.000,00;0,69;0,53
132;127,61;44,91;"Temperate";529,00;4,33;7,45;4,73;37,84;15,30;186,88;1,35;1,72;10.000.000,00;6.300.000.000,00;218.000.000,00;0,72;0,02
133;115,93;28,62;"Subtropical";1.599,00;18,21;6,72;4,57;35,71;4,54;313,90;4,92;3,03;2.650.000,00;99.300.000,00;58.200.000,00;-0,41;0,73
134;113,2;22,26;"Subtropical";1.389,00;23,00;5,67;5,29;1,65;29,56;387,20;92,04;0,87;8.390.000,00;433.000.000,00;201.000.000,00;-0,60;-0,39
135;106,93;27,73;"Subtropical";1.073,00;16,00;7,28;8,62;1,64;18,97;424,99;4,01;1,06;25.800.000,00;1.830.000.000,00;382.000.000,00;0,61;0,16
136;108,94;30,29;"Subtropical";1.013,00;16,71;7,44;6,45;215,85;3,09;341,20;5,07;7,02;7.910.000,00;756.000.000,00;204.000.000,00;0,32;-0,45
137;121,07;32,24;"Subtropical";1.086,00;15,83;6,97;4,36;24,66;2,65;262,95;34,20;4,24;7.840.000,00;507.000.000,00;135.000.000,00;0,61;0,17
138;118,29;31,77;"Subtropical";1.046,00;16,58;6,70;3,97;1,44;5,05;202,26;73,12;3,11;20.900.000,00;400.000.000,00;245.000.000,00;-0,18;0,26
139;127,11;47,24;"Temperate";529,00;4,33;5,02;3,94;2,31;23,16;237,55;2,64;0,47;2.780.000,00;108.000.000,00;77.300.000,00;-0,86;-0,35
