"Fig.4A Quantitative distribution of the pmoA, nirS and nirK genes in eighteen fractions from each CsCl gradient on day 40.",,,,,,,,
ID,Soil type,Treatment,Replicate,Fraction,Buoyant density,pmoA gene copies,nirS gene copies,nirK gene copies
296,Yellow soil,13C,2,8,"1,71748 ","3,99E-02","4,13E+05","1,55E+04"
297,Yellow soil,13C,2,9,"1,71524 ","2,19E-02","1,00E+06","2,81E+04"
298,Yellow soil,13C,2,10,"1,71188 ","3,43E-02","1,13E+06","4,14E+04"
299,Yellow soil,13C,2,11,"1,70740 ","3,94E-02","5,85E+05","3,62E+04"
300,Yellow soil,13C,2,12,"1,70404 ","2,18E-02","1,03E+05","1,65E+04"
301,Yellow soil,13C,2,13,"1,70068 ","2,29E-02","6,03E+04","8,56E+03"
302,Yellow soil,13C,2,14,"1,69844 ","1,51E-02","2,33E+04","2,76E+03"
303,Yellow soil,13C,2,15,"1,69508 ","5,21E-03","1,44E+04","1,38E+03"
304,Yellow soil,13C,2,16,"1,69396 ","1,22E-03","6,72E+03","2,59E+02"
305,Yellow soil,13C,2,17,"1,69172 ","1,31E-03","1,10E+04","7,17E+02"
306,Yellow soil,13C,2,18,"1,67155 ","2,34E-03","2,38E+04","1,25E+03"
307,Yellow soil,13C,3,1,"1,73429 ","2,73E-02","3,71E+05","4,95E+03"
308,Yellow soil,13C,3,2,"1,73317 ","6,05E-02","5,13E+05","7,96E+03"
309,Yellow soil,13C,3,3,"1,73205 ","8,31E-02","8,06E+05","1,52E+04"
310,Yellow soil,13C,3,4,"1,73093 ","1,26E-01","5,54E+05","1,76E+04"
311,Yellow soil,13C,3,5,"1,72868 ","1,05E-01","3,89E+05","1,22E+04"
312,Yellow soil,13C,3,6,"1,72532 ","2,33E-01","2,11E+05","1,02E+04"
313,Yellow soil,13C,3,7,"1,72196 ","1,91E-01","2,84E+05","8,84E+03"
314,Yellow soil,13C,3,8,"1,71972 ","4,69E-02","3,71E+05","1,00E+04"
315,Yellow soil,13C,3,9,"1,71524 ","2,32E-02","1,08E+06","1,89E+04"
316,Yellow soil,13C,3,10,"1,71188 ","1,91E-02","1,55E+06","4,74E+04"
317,Yellow soil,13C,3,11,"1,70852 ","2,63E-02","7,35E+05","3,83E+04"
318,Yellow soil,13C,3,12,"1,70516 ","2,37E-02","1,35E+05","2,50E+04"
319,Yellow soil,13C,3,13,"1,70180 ","1,63E-02","6,27E+04","1,49E+04"
320,Yellow soil,13C,3,14,"1,69956 ","1,20E-02","3,12E+04","1,95E+03"
321,Yellow soil,13C,3,15,"1,69620 ","4,11E-03","1,43E+04","7,99E+02"
322,Yellow soil,13C,3,16,"1,69396 ","2,45E-03","6,27E+03","8,19E+02"
323,Yellow soil,13C,3,17,"1,69284 ","1,36E-04","1,35E+03","2,62E+01"
324,Yellow soil,13C,3,18,"1,68836 ","4,19E-03","3,14E+04","1,35E+03"
