"Fig.4A Quantitative distribution of the pmoA, nirS and nirK genes in eighteen fractions from each CsCl gradient on day 40.",,,,,,,,
ID,Soil type,Treatment,Replicate,Fraction,Buoyant density,pmoA gene copies,nirS gene copies,nirK gene copies
71,Black soil,13C,1,17,"1,69396 ","1,04E+04","1,03E+03","3,79E+02"
72,Black soil,13C,1,18,"1,69172 ","3,16E+03","8,10E+02","8,09E+02"
73,Black soil,13C,2,1,"1,73653 ","1,41E+04","2,21E+04","6,86E+01"
74,Black soil,13C,2,2,"1,73541 ","8,58E+04","1,26E+05","1,48E+02"
75,Black soil,13C,2,3,"1,73317 ","1,89E+05","1,54E+05","8,04E+02"
76,Black soil,13C,2,4,"1,73093 ","1,65E+05","2,15E+05","1,86E+03"
77,Black soil,13C,2,5,"1,72868 ","3,52E+05","2,87E+05","4,53E+02"
78,Black soil,13C,2,6,"1,72644 ","4,32E+05","1,22E+05","6,85E+02"
79,Black soil,13C,2,7,"1,72308 ","6,08E+05","1,19E+05","4,48E+03"
80,Black soil,13C,2,8,"1,71972 ","3,46E+05","2,02E+05","2,36E+03"
81,Black soil,13C,2,9,"1,71636 ","1,85E+05","4,38E+05","8,84E+03"
82,Black soil,13C,2,10,"1,71188 ","3,69E+05","5,52E+05","1,59E+04"
83,Black soil,13C,2,11,"1,70852 ","3,72E+05","2,76E+05","2,35E+04"
84,Black soil,13C,2,12,"1,70516 ","2,54E+05","2,74E+04","7,86E+03"
85,Black soil,13C,2,13,"1,70180 ","1,07E+05","4,80E+04","8,31E+03"
86,Black soil,13C,2,14,"1,69844 ","6,66E+04","3,24E+04","9,79E+03"
87,Black soil,13C,2,15,"1,69620 ","4,86E+04","9,62E+03","1,55E+03"
88,Black soil,13C,2,16,"1,69396 ","1,13E+04","6,19E+03","6,44E+02"
89,Black soil,13C,2,17,"1,69172 ","1,15E+04","1,16E+04","3,64E+02"
90,Black soil,13C,2,18,"1,68052 ","9,69E+03","7,37E+03","6,59E+01"
91,Black soil,13C,3,1,"1,73653 ","3,28E+03","4,10E+04","1,31E+03"
92,Black soil,13C,3,2,"1,73541 ","6,85E+03","1,12E+05","4,67E+03"
93,Black soil,13C,3,3,"1,73429 ","1,55E+04","7,52E+04","8,39E+03"
94,Black soil,13C,3,4,"1,73317 ","1,45E+05","3,80E+05","6,87E+03"
95,Black soil,13C,3,5,"1,72981 ","2,47E+05","3,86E+05","5,93E+03"
96,Black soil,13C,3,6,"1,72756 ","4,69E+05","3,00E+05","4,66E+03"
97,Black soil,13C,3,7,"1,72420 ","1,16E+06","1,96E+05","7,40E+03"
98,Black soil,13C,3,8,"1,72196 ","7,93E+05","2,41E+05","1,14E+04"
99,Black soil,13C,3,9,"1,71860 ","1,42E+05","1,95E+05","2,48E+04"
100,Black soil,13C,3,10,"1,71524 ","1,36E+05","1,22E+06","4,85E+04"
101,Black soil,13C,3,11,"1,71188 ","2,71E+05","6,41E+05","3,29E+04"
102,Black soil,13C,3,12,"1,70852 ","4,50E+05","4,72E+05","1,43E+04"
103,Black soil,13C,3,13,"1,70516 ","7,51E+05","2,37E+05","6,24E+03"
104,Black soil,13C,3,14,"1,70292 ","2,58E+05","7,12E+04","7,85E+03"
105,Black soil,13C,3,15,"1,69956 ","1,69E+05","4,80E+04","1,45E+03"
106,Black soil,13C,3,16,"1,69620 ","3,41E+04","1,37E+04","6,47E+02"
107,Black soil,13C,3,17,"1,69396 ","1,32E+04","1,52E+04","4,14E+02"
108,Black soil,13C,3,18,"1,69172 ","7,36E+03","8,52E+03","4,30E+02"
109,Red soil,12C,1,1,"1,74101 ","1,53E+03","1,63E+03","3,67E+01"
110,Red soil,12C,1,2,"1,73989 ","2,49E+03","3,22E+03","2,25E+02"
111,Red soil,12C,1,3,"1,73877 ","2,93E+03","3,06E+03","5,77E+01"
