Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ref_biomaterial,rel_to_oxygen,ReleaseDate,create_date,version,samp_collect_device,samp_mat_process,samp_size,Sample Name,source_material_id,SRA Study
SRR28552072,WGS,302,13756766816,PRJNA1096118,SAMN40744859,Metagenome or environmental,4464841847,HUAZHONG AGRICULTURAL UNIVERSITY,2021-10-08T09:08:00Z,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX24151677,China,Asia,China:Guangdong,not applicable,Illumina NovaSeq 6000,soil sample,23.16 N 113.36 E,Yellow_3,PAIRED,RANDOM,METAGENOMIC,soil metagenome,ILLUMINA,missing,missing,2024-04-12T00:00:00Z,2024-04-04T00:13:00Z,1,missing,missing,missing,Yellow_3,missing,SRP499661
SRR28552073,WGS,302,13914730936,PRJNA1096118,SAMN40744858,Metagenome or environmental,4461788380,HUAZHONG AGRICULTURAL UNIVERSITY,2021-10-08T09:07:00Z,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX24151676,China,Asia,China:Guangdong,not applicable,Illumina NovaSeq 6000,soil sample,23.16 N 113.36 E,Yellow_2,PAIRED,RANDOM,METAGENOMIC,soil metagenome,ILLUMINA,missing,missing,2024-04-12T00:00:00Z,2024-04-04T00:12:00Z,1,missing,missing,missing,Yellow_2,missing,SRP499661
SRR28552074,WGS,302,14409744270,PRJNA1096118,SAMN40744857,Metagenome or environmental,4658338812,HUAZHONG AGRICULTURAL UNIVERSITY,2021-10-08T09:06:00Z,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX24151675,China,Asia,China:Guangdong,not applicable,Illumina NovaSeq 6000,soil sample,23.16 N 113.36 E,Yellow_1,PAIRED,RANDOM,METAGENOMIC,soil metagenome,ILLUMINA,missing,missing,2024-04-12T00:00:00Z,2024-04-04T00:13:00Z,1,missing,missing,missing,Yellow_1,missing,SRP499661
SRR28552075,WGS,302,10904765188,PRJNA1096118,SAMN40744856,Metagenome or environmental,3755230213,HUAZHONG AGRICULTURAL UNIVERSITY,2021-10-08T09:05:00Z,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX24151674,China,Asia,China:Hunan,not applicable,Illumina NovaSeq 6000,soil sample,28.56 N 112.83 E,Red_3,PAIRED,RANDOM,METAGENOMIC,soil metagenome,ILLUMINA,missing,missing,2024-04-12T00:00:00Z,2024-04-04T00:12:00Z,1,missing,missing,missing,Red_3,missing,SRP499661
SRR28552076,WGS,302,14405430804,PRJNA1096118,SAMN40744855,Metagenome or environmental,4927059288,HUAZHONG AGRICULTURAL UNIVERSITY,2021-10-08T09:04:00Z,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX24151673,China,Asia,China:Hunan,not applicable,Illumina NovaSeq 6000,soil sample,28.56 N 112.83 E,Red_2,PAIRED,RANDOM,METAGENOMIC,soil metagenome,ILLUMINA,missing,missing,2024-04-12T00:00:00Z,2024-04-04T00:16:00Z,1,missing,missing,missing,Red_2,missing,SRP499661
SRR28552077,WGS,302,13388322588,PRJNA1096118,SAMN40744854,Metagenome or environmental,4606619481,HUAZHONG AGRICULTURAL UNIVERSITY,2021-10-08T09:03:00Z,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX24151672,China,Asia,China:Hunan,not applicable,Illumina NovaSeq 6000,soil sample,28.56 N 112.83 E,Red_1,PAIRED,RANDOM,METAGENOMIC,soil metagenome,ILLUMINA,missing,missing,2024-04-12T00:00:00Z,2024-04-04T00:15:00Z,1,missing,missing,missing,Red_1,missing,SRP499661
SRR28552078,WGS,302,19147275952,PRJNA1096118,SAMN40744853,Metagenome or environmental,6117349974,HUAZHONG AGRICULTURAL UNIVERSITY,2021-10-08T09:02:00Z,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX24151671,China,Asia,China:Heilongjiang,not applicable,Illumina NovaSeq 6000,soil sample,47.43 N 126.63 E,Black_3,PAIRED,RANDOM,METAGENOMIC,soil metagenome,ILLUMINA,missing,missing,2024-04-12T00:00:00Z,2024-04-04T00:22:00Z,1,missing,missing,missing,Black_3,missing,SRP499661
SRR28552079,WGS,302,16554369486,PRJNA1096118,SAMN40744852,Metagenome or environmental,5375987763,HUAZHONG AGRICULTURAL UNIVERSITY,2021-10-08T09:01:00Z,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24151670,China,Asia,China:Heilongjiang,not applicable,Illumina NovaSeq 6000,soil sample,47.43 N 126.63 E,Black_2,PAIRED,RANDOM,METAGENOMIC,soil metagenome,ILLUMINA,missing,missing,2024-04-12T00:00:00Z,2024-04-04T00:18:00Z,1,missing,missing,missing,Black_2,missing,SRP499661
SRR28552080,WGS,302,15260581856,PRJNA1096118,SAMN40744851,Metagenome or environmental,4950114695,HUAZHONG AGRICULTURAL UNIVERSITY,2021-10-08T09:00:00Z,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX24151669,China,Asia,China:Heilongjiang,not applicable,Illumina NovaSeq 6000,soil sample,47.43 N 126.63 E,Black_1,PAIRED,RANDOM,METAGENOMIC,soil metagenome,ILLUMINA,missing,missing,2024-04-12T00:00:00Z,2024-04-04T00:17:00Z,1,missing,missing,missing,Black_1,missing,SRP499661
